,number,theme,subtheme,year,set_name,minifigs,pieces,price,value_new,value_used,launch_date,eol_date,category,numeric_data_nan,price_unadjusted,value_change_per
0,6712-1,Western,Cowboys,1996,Sheriff's Showdown,2.0,28.0,6.910184348934814,81.1,15.67,1996-01-09,1998-12-31,set,False,4.0,1073.630049573154
1,6716-1,Western,Cowboys,1996,Covered Wagon,1.0,64.0,13.820368697869627,152.52,39.78,1996-01-09,1998-12-31,set,False,8.0,1003.5885028415381
2,6769-1,Western,Cowboys,1996,Fort Legoredo,10.0,687.0,146.84141741486476,400.0,223.58,1996-01-10,1998-12-31,set,False,85.0,172.40270970001407
3,6518-1,Town,Coastguard,1996,Baja Buggy,1.0,37.0,6.046411305317961,15.14,5.53,1996-01-07,1997-12-31,set,False,3.5,150.3964622235344
4,6493-1,Time Cruisers,,1996,Flying Time Vessel,2.0,237.0,76.01202783828295,112.47,40.77,1996-01-07,1998-12-31,set,False,44.0,47.963425261173256
5,4565-1,Trains,9V,1996,Freight and Crane Railway,3.0,914.0,241.8564522127185,547.04,196.08,1996-01-09,2002-12-31,set,False,140.0,126.18375279848446
6,6492-1,Time Cruisers,,1996,Hypno Cruiser,2.0,152.0,38.00601391914147,70.0,24.75,1996-01-07,1998-12-31,set,False,22.0,84.1813775812595
7,8480-1,Technic,,1996,Space Shuttle,,1368.0,272.9522817829251,742.0,287.6,1996-01-08,1998-12-31,set,False,158.0,171.84238767056783
8,8443-1,Technic,,1996,Pneumatic Log Loader,,327.0,101.92521914678849,274.45,67.92,1996-01-08,1998-12-31,set,False,59.0,169.26603866776918
9,8408-1,Technic,,1996,Desert Ranger,,289.0,51.8263826170111,60.0,19.37,1996-01-08,1998-12-31,set,False,30.0,15.771151622505977
10,6755-1,Western,Cowboys,1996,Sheriff's Lock-Up,4.0,176.0,43.18865218084258,375.0,56.07,1996-01-08,1998-12-31,set,False,25.0,768.2836371687947
12,6615-1,Town,Flight,1996,Eagle Stunt Flyer,1.0,76.0,15.116028263294906,56.4,9.82,1996-01-07,1997-12-31,set,False,8.75,273.1138829433906
13,6581-1,Town,Construction,1996,Dig 'N' Dump,2.0,127.0,22.88998565584657,54.59,11.82,1996-01-07,1997-12-31,set,False,13.25,138.48857234236232
14,6491-1,Time Cruisers,,1996,Rocket Racer,1.0,58.0,7.773957392551665,20.43,3.18,1996-01-07,1998-12-31,set,False,4.5,162.80051418308855
15,8456-1,Technic,,1996,Fiber Optic Multi Set,,404.0,127.83841045529404,132.1,55.76,1996-01-08,1998-12-31,set,False,74.0,3.3335751981962125
16,6135-1,Aquazone,Aquasharks,1996,Spy Shark,1.0,57.0,15.116028263294906,20.0,10.49,1996-01-01,1997-12-31,set,False,8.75,32.30988756857824
17,6958-1,Space,Exploriens,1996,Android Base,3.0,267.0,69.10184348934814,338.54,69.19,1996-01-01,1997-12-31,set,False,40.0,389.9145708785397
18,6598-1,Town,Police,1996,Metro PD Station,8.0,552.0,114.01804175742441,270.69,95.75,1996-01-01,1997-12-31,set,False,66.0,137.4097957022435
19,6145-1,Aquazone,Aquanauts,1996,Crystal Crawler,1.0,96.0,20.730553046804438,121.25,17.38,1996-01-04,1998-12-31,set,False,12.0,484.8855055928688
20,6337-1,Town,Racing,1996,Fast Track Finish,6.0,329.0,69.10184348934814,312.54,78.74,1996-01-07,1997-12-31,set,False,40.0,352.28894660122523
21,6190-1,Aquazone,Aquasharks,1996,Shark's Crystal Cave,2.0,258.0,86.37730436168516,480.63,118.94,1996-01-07,1997-12-31,set,False,50.0,456.4308860432505
22,4559-1,Trains,9V,1996,Cargo Railway,7.0,842.0,224.58099134038142,585.0,179.09,1996-01-07,1999-01-30,set,False,130.0,160.48509115063848
23,6024-1,Castle,Dark Forest,1996,Bandit Ambush,2.0,59.0,11.229049567019072,132.69,50.39,1996-01-06,1998-12-31,set,False,6.5,1081.6672391377167
25,6899-1,Space,Exploriens,1996,Nebula Outpost,2.0,158.0,25.91319130850555,65.03,24.78,1996-01-04,1997-12-31,set,False,15.0,150.9532663337188
26,6856-1,Space,Exploriens,1996,Planetary Decoder,1.0,80.0,13.820368697869627,37.91,9.76,1996-01-04,1997-12-31,set,False,8.0,174.30527237557504
27,1817-1,Town,Special,1996,Sea Plane with Hut and Boat,3.0,135.0,25.91319130850555,53.95,47.72,1996-01-03,2001-12-31,set,False,15.0,108.19512100113992
28,8244-1,Technic,,1996,Convertables,1.0,275.0,57.00902087871221,39.0,21.26,1996-01-01,1998-12-31,set,False,33.0,-31.589774041246464
29,6982-1,Space,Exploriens,1996,Explorien Starship,4.0,662.0,138.20368697869628,312.0,114.7,1996-01-01,1997-12-31,set,False,80.0,125.75374566388663
30,6334-1,Town,Leisure,1996,Wave Jump Racers,4.0,181.0,34.55092174467407,90.37,23.83,1996-01-07,1997-12-31,set,False,20.0,161.5559743031466
31,8207-1,Technic,,1996,Dune Duster,,86.0,13.820368697869627,23.48,6.07,1996-01-01,1998-12-31,set,False,8.0,69.8941650060275
32,6818-1,Space,UFO,1997,Cyborg Scout,1.0,35.0,5.064257903753308,18.42,5.94,1997-01-09,1998-12-31,set,False,3.0,263.7255517012327
33,8229-1,Technic,,1997,Tread Trekker,1.0,186.0,37.13789129419093,44.95,12.85,1997-01-01,1999-12-31,set,False,22.0,21.03541271076701
34,6829-1,Space,UFO,1997,Radon Rover,1.0,52.0,10.128515807506616,46.11,8.13,1997-01-09,1998-12-31,set,False,6.0,355.2493265185623
35,6836-1,Space,UFO,1997,V-Wing Fighter,1.0,40.0,6.752343871671078,30.0,7.93,1997-01-09,1998-12-31,set,False,4.0,344.29016901616365
36,6915-1,Space,UFO,1997,Warp Wing Fighter,2.0,236.0,50.64257903753308,284.74,55.81,1997-01-09,1998-12-31,set,False,30.0,462.2541454473887
37,6975-1,Space,UFO,1997,Alien Avenger,4.0,369.0,101.28515807506616,559.63,87.06,1997-01-09,1998-12-31,set,False,60.0,452.5291273033681
38,6979-1,Space,UFO,1997,Interstellar Starfighter,3.0,292.0,135.04687743342157,354.29,97.99,1997-01-09,1998-12-31,set,False,80.0,162.34593996789437
39,6037-1,Castle,Fright Knights,1997,Witch's Windship,1.0,56.0,13.504687743342156,53.65,23.96,1997-01-01,1998-12-31,set,False,8.0,297.269459461953
40,2129-1,Technic,,1997,Blast-Off Dragster,,63.0,11.816601775424386,20.16,7.37,1997-01-01,1998-12-31,set,False,7.0,70.60742490220684
41,2147-1,Town,Special,1997,Dragon Fly,2.0,183.0,47.266407101697546,23.02,14.14,1997-01-01,2000-12-31,set,False,28.0,-51.29733480594244
42,2148-1,Town,Vehicles,1997,LEGO Truck,1.0,105.0,18.568945647095465,73.86,42.85,1997-01-01,1999-12-31,set,False,11.0,297.7608713155618
43,2153-1,Space,RoboForce,1997,Robo Stalker,2.0,280.0,50.64257903753308,90.0,35.5,1997-01-01,1999-01-03,set,False,30.0,77.71606760646546
44,6027-1,Castle,Fright Knights,1997,Bat Lord's Catapult,2.0,55.0,11.394580283444945,49.78,19.52,1997-01-01,1998-12-31,set,False,6.75,336.8743627382642
45,8735-1,Technic,Supplementary,1997,"Motor Set, 9V",,60.0,67.52343871671079,34.22,27.13,1997-01-08,2003-12-31,set,False,40.0,-49.321301387556275
46,8215-1,Technic,,1997,Gyro Copter,,108.0,13.504687743342156,38.72,9.6,1997-01-01,1999-12-31,set,False,8.0,186.71525573843093
47,8479-1,Technic,,1997,Barcode Multi-Set,,1280.0,276.84609873851423,705.23,142.99,1997-01-08,1999-12-31,set,False,164.0,154.7371999148529
48,8277-1,Technic,,1997,Giant Model Set,,546.0,67.52343871671079,143.66,50.82,1997-01-01,1998-12-31,set,False,40.0,112.75575226954021
49,8437-1,Technic,,1997,Future Car,,419.0,91.15664226755956,112.08,49.4,1997-01-08,1998-12-31,set,False,54.0,22.95319047736201
50,6087-1,Castle,Fright Knights,1997,Witch's Magic Manor,6.0,250.0,74.27578258838186,360.48,100.54,1997-01-01,1998-12-31,set,False,44.0,385.3264246271111
51,8414-1,Technic,,1997,Mountain Rambler,,244.0,50.64257903753308,64.95,23.28,1997-01-01,1999-12-31,set,False,30.0,28.25176212266592
52,2160-1,Aquazone,Aquaraiders,1997,Crystal Scavenger,1.0,110.0,25.32128951876654,77.31,24.5,1997-01-05,1998-12-31,set,False,15.0,205.31620414790768
53,2161-1,Aquazone,Aquaraiders,1997,Aqua Dozer,1.0,136.0,42.20214919794424,77.0,29.41,1997-01-05,1998-12-31,set,False,25.0,82.45516274263787
54,6407-1,Town,Fire,1997,Fire Chief,1.0,24.0,9.284472823547732,11.87,3.3,1997-01-05,1998-12-31,set,False,5.5,27.84786196901484
