,number,theme,subtheme,year,set_name,minifigs,pieces,price,value_new,value_used,launch_date,eol_date,category,numeric_data_nan,price_unadjusted
0,819-1,Basic,Supplementaries,1991,Blue baseplate,,1.0,10.945336597307222,6.26,,,,set,False,5.5
1,6540-1,Town,Police,1991,Pier Police,4.0,352.0,87.56269277845777,424.79,66.18,,,set,False,44.0
2,6541-1,Town,Boats,1991,Intercoastal Seaport,5.0,545.0,126.86640146878825,369.0,165.57,,,set,False,63.75
3,6646-1,Town,Racing,1991,Screaming Patriot,1.0,65.0,13.432913096695225,68.99,9.93,,,set,False,6.75
4,6887-1,Space,Blacktron 2,1991,Allied Avenger,1.0,100.0,15.7811853121175,250.0,39.96,,,set,False,7.93
5,6669-1,Town,Vehicles,1991,Diesel Daredevil,1.0,90.0,17.413035495716034,39.4,12.37,,,set,False,8.75
6,6679-1,Town,Boats,1991,Dark Shark,2.0,83.0,15.403073684210526,64.52,8.34,,,set,False,7.74
7,4554-1,Trains,9V,1991,Metro Station,8.0,600.0,143.2844063647491,550.0,177.16,,,set,False,72.0
8,6234-1,Pirates,,1991,Renegade's Raft,1.0,38.0,6.467698898408812,119.11,10.26,,,set,False,3.25
9,4548-1,Trains,9V,1991,Transformer and Speed Regulator,,3.0,83.56266976744186,89.94,52.12,,,set,False,41.99
10,1881-1,Basic,,1991,"Play Bucket of Bricks, 3+",1.0,288.0,29.850917992656058,,13.95,,,set,False,15.0
11,2303-1,Duplo,,1991,Red and Green Building Plates,,2.0,10.945336597307222,,,,,set,False,5.5
12,2314-1,Duplo,,1991,Building Set,,38.0,28.855887392900854,,,,,set,False,14.5
13,1475-1,Town,Flight,1991,Airport Security Squad,2.0,123.0,19.90061199510404,165.9,49.8,,,set,False,10.0
14,2361-1,Duplo,,1991,Matt and Mutt Building Set,,23.0,19.90061199510404,,,,,set,False,10.0
15,4011-1,Boats,,1991,Cabin Cruiser,2.0,90.0,39.303708690330474,112.94,14.56,,,set,False,19.75
16,4021-1,Boats,,1991,Police Patrol,3.0,195.0,67.66208078335372,249.95,42.93,,,set,False,34.0
17,4031-1,Boats,,1991,Firefighter,4.0,361.0,103.48318237454099,239.27,62.63,,,set,False,52.0
18,4520-1,Trains,9V,1991,Curved Rails,,8.0,25.850894981640145,16.01,5.72,,,set,False,12.99
19,4536-1,Trains,9V,1991,Blue Hopper Car,,166.0,29.850917992656058,154.17,83.33,,,set,False,15.0
20,4539-1,Trains,9V,1991,Manual Level Crossing,1.0,110.0,49.751529987760094,210.0,54.42,,,set,False,25.0
21,4543-1,Trains,9V,1991,Railroad Tractor Flatbed,1.0,178.0,43.78134638922889,358.69,63.63,,,set,False,22.0
22,4546-1,Trains,9V,1991,Road & Rail Maintenance,1.0,77.0,19.90061199510404,107.28,24.18,,,set,False,10.0
23,4515-1,Trains,9V,1991,Straight Rails,,8.0,25.850894981640145,50.3,33.74,,,set,False,12.99
24,4531-1,Trains,9V,1991,Manual Points with Track,,6.0,55.701812974296196,45.75,27.97,,,set,False,27.99
25,2654-1,Duplo,,1991,Police Emergency Unit,2.0,11.0,15.92048959608323,,11.83,,,set,False,8.0
26,2660-1,Duplo,,1991,Zoo Nursery,,5.0,10.44782129742962,13.5,6.15,,,set,False,5.25
27,2671-1,Duplo,,1991,Grand Prix Racing Team,2.0,7.0,26.368310893512852,22.74,15.96,,,set,False,13.25
28,6878-1,Space,Blacktron 2,1991,Sub Orbital Guardian,1.0,69.0,15.92048959608323,61.24,26.17,,,set,False,8.0
29,6933-1,Space,Blacktron 2,1991,Spectral Starguider,2.0,208.0,49.751529987760094,500.0,81.45,,,set,False,25.0
30,2306-1,Duplo,,1991,Large Red Building Plate,,1.0,23.880734394124843,,5.61,,,set,False,12.0
